ID,customer_ID,title,urgency_code,status_code,createdAt,createdBy,modifiedAt,modifiedBy
4225d230-1557-47e4-bebc-d0c8fb0d267f,Customers-17850625,title-4225,L,N,2018-04-02T00:00:00.000Z,createdBy.39d@example.org,2005-07-14T00:00:00.000Z,modifiedBy.39d@example.org
422647a1-3cbb-426a-a804-0605ad3f0136,Customers-17850625,title-4226,L,N,2002-04-24T00:00:00.000Z,createdBy.39e@example.net,2009-03-26T00:00:00.000Z,modifiedBy.39e@example.org
422779d0-0d89-4250-b6a7-04d192d4f92e,Customers-17850625,title-4227,L,N,2002-11-08T00:00:00.000Z,createdBy.39f@example.com,2006-12-14T00:00:00.000Z,modifiedBy.39f@example.com
42284a75-8dd5-468e-8445-b3ebcd4fc82c,Customers-17850625,title-4228,L,N,2016-03-29T00:00:00.000Z,createdBy.39g@example.org,2003-09-02T00:00:00.000Z,modifiedBy.39g@example.com
4229d4f7-7991-4a0f-8dda-333cf31456e8,Customers-17850625,title-4229,L,N,2003-08-22T00:00:00.000Z,createdBy.39h@example.com,2020-10-18T00:00:00.000Z,modifiedBy.39h@example.com
42301715-77e2-405a-ba22-76b6d97cc556,Customers-17850625,title-4230,L,N,2021-02-07T00:00:00.000Z,createdBy.39i@example.com,2020-04-28T00:00:00.000Z,modifiedBy.39i@example.com
423162cb-fcc5-4095-a058-467495d9c442,Customers-17850625,title-4231,L,N,2012-04-12T00:00:00.000Z,createdBy.39j@example.net,2000-03-15T00:00:00.000Z,modifiedBy.39j@example.org
4232ac0f-04a2-4b56-9544-19fcde157204,Customers-17850625,title-4232,L,N,2023-11-03T00:00:00.000Z,createdBy.39k@example.com,2012-04-30T00:00:00.000Z,modifiedBy.39k@example.com
42336654-05f2-40ad-a3fb-e3453e87f9b9,Customers-17850625,title-4233,L,N,2008-02-11T00:00:00.000Z,createdBy.39l@example.com,2022-04-01T00:00:00.000Z,modifiedBy.39l@example.org
4234032e-0aa7-4d96-a400-d2c290b907ab,Customers-17850625,title-4234,L,N,2003-03-25T00:00:00.000Z,createdBy.39m@example.com,2008-05-14T00:00:00.000Z,modifiedBy.39m@example.org
